timestamps,FuSHp_pCtlBnk1,Veh_bSailEna
5.283592997278902,-0.22,b'TRUE'
5.305989990956732,-0.214,b'TRUE'
5.328042984721833,-0.306,b'TRUE'
5.350055978517048,-0.43,b'TRUE'
5.37224797224917,-0.41200000000000003,b'TRUE'
5.39428896602476,-0.32,b'TRUE'
5.416079959875788,-0.266,b'TRUE'
5.438133953648503,-0.23,b'TRUE'
5.460433947358979,-0.21,b'TRUE'
5.482979940992664,-0.156,b'TRUE'
5.505122934744577,-0.108,b'TRUE'
5.527364928464522,-0.1,b'TRUE'
5.549460922222352,-0.12,b'TRUE'
5.571254916067119,-0.138,b'TRUE'
5.592944909949438,-0.158,b'TRUE'
5.614437903888756,-0.17400000000000002,b'TRUE'
5.635980897801346,-0.182,b'TRUE'
5.657267891787342,-0.186,b'TRUE'
5.678355885844212,-0.192,b'TRUE'
5.699598879844416,-0.198,b'TRUE'
5.720939873819589,-0.198,b'TRUE'
5.741927867900813,-0.196,b'TRUE'
5.7624638621055055,-0.198,b'TRUE'
5.783151856259792,-0.198,b'TRUE'
5.8039878503768705,-0.194,b'TRUE'
5.824573844569386,-0.19,b'TRUE'
5.844961838811287,-0.192,b'TRUE'
5.865245833090739,-0.194,b'TRUE'
5.8855308273632545,-0.194,b'TRUE'
5.905513821722707,-0.198,b'TRUE'
5.925196816169773,-0.2,b'TRUE'
5.944982810586225,-0.202,b'TRUE'
5.964564805050031,-0.196,b'TRUE'
5.984146799528389,-0.182,b'TRUE'
6.003577794035664,-0.164,b'TRUE'
6.023007788549876,-0.154,b'TRUE'
6.042845782954828,-0.154,b'TRUE'
6.062173777492717,-0.164,b'TRUE'
6.081956771915429,-0.17,b'TRUE'
6.101488766405964,-0.146,b'TRUE'
6.121577760728542,-0.114,b'TRUE'
6.1419157549971715,-0.1,b'TRUE'
6.161949749337509,-0.094,b'TRUE'
6.18233474358567,-0.094,b'TRUE'
6.2029737377597485,-0.07200000000000001,b'TRUE'
6.223057732087909,-0.034,b'TRUE'
6.243246726386133,-0.018000000000000002,b'TRUE'
6.263480720677762,-0.054,b'TRUE'
6.283965714887017,-0.096,b'TRUE'
6.303949709254084,-0.114,b'TRUE'
6.323983703594422,-0.126,b'TRUE'
6.344070697930874,-0.14200000000000002,b'TRUE'
6.364455692179035,-0.14400000000000002,b'TRUE'
6.3849906863761134,-0.146,b'TRUE'
6.404975680736243,-0.148,b'TRUE'
6.425108675059164,-0.146,b'TRUE'
6.445395669332356,-0.146,b'TRUE'
6.465579663636163,-0.14400000000000002,b'TRUE'
6.485914657881949,-0.136,b'TRUE'
6.505950652237516,-0.126,b'TRUE'
6.525983646584791,-0.12,b'TRUE'
6.546121640887577,-0.12,b'TRUE'
6.566104635247029,-0.128,b'TRUE'
6.586238629563013,-0.13,b'TRUE'
6.606472623854643,-0.128,b'TRUE'
6.626858618110418,-0.124,b'TRUE'
6.646943612431642,-0.124,b'TRUE'
6.666976606778917,-0.126,b'TRUE'
6.687060601107078,-0.126,b'TRUE'
6.707145595442853,-0.12,b'TRUE'
6.727228589777951,-0.122,b'TRUE'
