timestamps,DiagIf_ctIumprDenom,DiagIf_tiIumprEngOnCum,DiagIf_tiIumprIdl,DiagIf_tiIumprVehSpdCum,Eng_ctMisfAdpPlausAbs,Eng_ctMisfAdpPlausNvm,Eng_ctMisfAdpPlausRel,Eng_ctMisfEmiIntl,Eng_ctMisfTiAdpRst,Exh_facOxiCat1Bnk1,Veh_pEnvLstDcy,Veh_tiEngOffEngSpdCyc,Air_bCAir_bChkCycCmpl_pEnvhk,Veh_bDiagEcuOffFin
99.0006498460998,8,95.60000000000001,0.0,39.400000000000006,0,0,0,0,0,0.0,963.28125,210,b'TRUE',b'TRUE'
100.00035463221366,8,96.60000000000001,0.0,40.400000000000006,0,0,0,0,0,0.0,963.28125,210,b'TRUE',b'TRUE'
101.00060141821086,8,97.60000000000001,0.0,41.400000000000006,0,0,0,0,0,0.0,963.4765625,210,b'TRUE',b'TRUE'
102.00056174411384,8,98.60000000000001,0.0,42.400000000000006,0,0,0,0,0,6.886474609375,963.4765625,210,b'TRUE',b'TRUE'
103.00057799315118,8,99.60000000000001,0.0,43.400000000000006,0,0,0,1,0,6.886474609375,963.4765625,210,b'TRUE',b'TRUE'
104.00063824241943,8,100.60000000000001,0.0,44.400000000000006,0,0,0,1,0,6.886474609375,963.671875,210,b'TRUE',b'TRUE'
105.00056922230715,8,101.60000000000001,0.0,45.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
106.00061364925159,8,102.60000000000001,0.0,46.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
107.00056907597946,8,103.60000000000001,0.0,47.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
108.0005629957036,8,104.60000000000001,0.0,48.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
109.00055024213361,8,105.60000000000001,0.0,49.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
110.00049348850825,8,106.60000000000001,0.0,50.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
111.0005114487426,8,107.60000000000001,0.0,51.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
112.00045602466389,8,108.60000000000001,0.0,52.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
113.00084860084371,8,109.60000000000001,0.0,53.400000000000006,0,0,0,1,0,6.886474609375,963.8671875,210,b'TRUE',b'TRUE'
114.0004579794504,8,110.60000000000001,0.0,54.400000000000006,0,0,0,1,0,6.886474609375,963.671875,210,b'TRUE',b'TRUE'
115.00053398194996,8,111.60000000000001,0.0,55.400000000000006,0,0,0,1,0,6.886474609375,963.4765625,210,b'TRUE',b'TRUE'
116.00095698861423,8,112.60000000000001,0.0,56.400000000000006,0,0,0,1,0,6.886474609375,963.4765625,210,b'TRUE',b'TRUE'
117.00054954413645,8,113.60000000000001,0.0,57.400000000000006,0,0,0,1,0,6.886474609375,963.28125,210,b'TRUE',b'TRUE'
118.00092863953478,8,114.60000000000001,0.0,58.400000000000006,0,0,0,1,0,6.886474609375,963.28125,210,b'TRUE',b'TRUE'
119.00166473710851,8,115.60000000000001,0.0,59.400000000000006,0,0,0,1,0,6.886474609375,963.0859375,210,b'TRUE',b'TRUE'
120.00055265684568,8,116.60000000000001,0.0,60.400000000000006,0,0,0,1,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
121.00077976733974,8,117.60000000000001,0.0,61.400000000000006,0,0,0,1,0,6.886474609375,962.6953125,210,b'TRUE',b'TRUE'
122.00106287800827,8,118.60000000000001,0.0,62.400000000000006,0,0,0,1,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
123.00102739722752,8,119.60000000000001,0.0,63.400000000000006,0,0,0,1,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
124.00174193138218,8,120.60000000000001,0.0,64.4,0,0,0,1,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
125.00142046394876,8,121.60000000000001,0.0,65.4,0,0,0,1,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
126.00104175901197,8,122.60000000000001,0.0,66.4,0,0,0,1,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
127.00180965205209,8,123.60000000000001,0.0,67.4,0,0,0,1,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
128.0017515443551,8,124.60000000000001,0.0,68.4,0,0,0,2,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
129.00102568190596,8,125.60000000000001,0.0,69.4,0,0,0,2,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
130.00128547074837,8,126.60000000000001,0.0,70.4,0,0,0,2,0,6.886474609375,961.9140625,210,b'TRUE',b'TRUE'
131.00047524377032,8,127.60000000000001,0.0,71.4,0,0,0,2,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
132.00141438482297,8,128.6,0.0,72.4,0,0,0,2,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
133.0007948999223,8,129.6,0.0,73.4,0,0,0,2,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
134.00048841737544,8,130.6,0.0,74.4,0,0,0,2,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
135.00040667113626,8,131.6,0.0,75.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
136.0013675289838,8,132.6,0.0,76.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
137.0014373833974,8,133.6,0.0,77.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
138.00078167548827,8,134.6,0.0,78.4,0,0,0,2,0,6.886474609375,962.6953125,210,b'TRUE',b'TRUE'
139.0014948022581,8,135.6,0.0,79.4,0,0,0,2,0,6.886474609375,962.6953125,210,b'TRUE',b'TRUE'
140.00025492487703,8,136.6,0.0,80.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
141.00025726153126,8,137.6,0.0,81.4,0,0,0,2,0,6.886474609375,962.6953125,210,b'TRUE',b'TRUE'
142.0001890379467,8,138.6,0.0,82.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
143.00052681670786,8,139.6,0.0,83.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
144.00091971672964,8,140.6,0.0,84.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
145.00161776118057,8,141.6,0.0,85.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
146.00158380340463,8,142.6,0.0,86.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
147.00112036893597,8,143.6,0.0,87.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
148.000328934324,8,144.6,0.0,88.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
149.00036550100958,8,145.6,0.0,89.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
150.00028087526243,8,146.6,0.0,90.4,0,0,0,2,0,6.886474609375,962.890625,210,b'TRUE',b'TRUE'
151.00013978718061,8,147.6,0.0,91.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
152.00024269932146,8,148.6,0.0,92.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
153.0001995238963,8,149.6,0.0,93.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
154.00017914596992,8,150.6,0.0,94.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
155.00008976800063,8,151.6,0.0,95.4,0,0,0,2,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
156.00011637249236,8,152.6,0.0,96.4,0,0,0,3,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
